item_id,unit_price
p_1,6
p_2,13
p_3,31
p_4,37
p_5,40
p_6,19
p_7,4
p_8,20
p_9,42
p_10,40
p_11,14
p_12,33
p_13,20
p_14,37
p_15,28
p_16,37
p_17,3
p_18,36
p_19,4
p_20,10
p_21,21
p_22,25
p_23,43
p_24,25
p_25,20
p_26,20
p_27,11
p_28,14
p_29,4
p_30,15
p_31,33
p_32,12
p_33,1
p_34,33
p_35,4
p_36,5
p_37,31
p_38,7
p_39,3
p_40,8
p_41,20
p_42,25
p_43,24
p_44,9
p_45,30
p_46,33
p_47,22
p_48,11
p_49,3
p_50,19
p_51,9
p_52,22
p_53,23
p_54,8
p_55,32
p_56,37
p_57,35
p_58,34
p_59,9
p_60,3
p_61,10
p_62,33
p_63,15
p_64,12
p_65,16
p_66,19
p_67,42
p_68,2
p_69,10
p_70,8
p_71,30
p_72,43
p_73,37
p_74,30
p_75,25
p_76,2
p_77,23
p_78,23
p_79,23
p_80,23
p_81,9
p_82,33
p_83,5
p_84,43
p_85,3
p_86,21
p_87,4
p_88,13
p_89,10
p_90,20
p_91,36
p_92,4
p_93,7
p_94,11
p_95,20
p_96,37
p_97,17
p_98,39
p_99,10
p_100,28
p_101,7
p_102,16
p_103,11
p_104,10
p_105,14
p_106,21
p_107,18
p_108,30
p_109,26
p_110,4
p_111,24
p_112,2
p_113,42
p_114,39
p_115,8
p_116,5
p_117,32
p_118,8
p_119,27
p_120,21
p_121,1
p_122,37
p_123,29
p_124,31
p_125,10
p_126,17
p_127,1
p_128,11
p_129,17
p_130,1
p_131,3
p_132,42
p_133,33
p_134,33
p_135,27
p_136,40
p_137,29
p_138,15
p_139,16
p_140,9
p_141,17
p_142,12
p_143,3
p_144,38
p_145,44
p_146,44
p_147,25
p_148,24
p_149,16
p_150,44
p_151,14
p_152,32
p_153,25
p_154,43
p_155,18
p_156,20
p_157,26
p_158,41
p_159,36
p_160,27
p_161,16
p_162,16
p_163,39
p_164,3
p_165,28
p_166,44
p_167,18
p_168,43
p_169,18
p_170,27
p_171,12
p_172,26
p_173,15
p_174,17
p_175,43
p_176,8
p_177,34
p_178,42
p_179,43
p_180,13
p_181,22
p_182,10
p_183,21
p_184,18
p_185,21
p_186,13
p_187,17
p_188,38
p_189,10
p_190,12
p_191,8
p_192,29
p_193,41
p_194,11
p_195,33
p_196,8
p_197,3
p_198,24
p_199,36
p_200,30
p_201,43
p_202,6
p_203,34
p_204,12
p_205,41
p_206,30
p_207,13
p_208,44
p_209,33
p_210,15
p_211,1
p_212,18
p_213,11
p_214,16
p_215,16
p_216,17
p_217,13
p_218,20
p_219,14
p_220,7
p_221,1
p_222,16
p_223,29
p_224,9
p_225,16
p_226,16
p_227,4
p_228,10
p_229,35
p_230,11
p_231,12
p_232,5
p_233,19
p_234,3
p_235,38
p_236,1
p_237,12
p_238,15
p_239,7
p_240,25
p_241,36
p_242,41
p_243,14
p_244,20
p_245,4
p_246,37
p_247,41
p_248,28
p_249,38
p_250,38
p_251,8
p_252,15
p_253,19
p_254,34
p_255,14
p_256,12
p_257,39
p_258,10
p_259,37
p_260,13
p_261,42
p_262,25
p_263,44
p_264,21
p_265,25
p_266,7
p_267,18
p_268,26
p_269,17
p_270,44
p_271,37
p_272,31
p_273,29
p_274,25
p_275,27
p_276,29
p_277,29
p_278,7
p_279,27
p_280,1
p_281,41
p_282,41
p_283,8
p_284,1
p_285,6
p_286,30
p_287,14
p_288,36
p_289,2
p_290,38
p_291,22
p_292,5
p_293,9
p_294,40
p_295,39
p_296,1
p_297,13
p_298,19
p_299,8
p_300,24
p_301,13
p_302,30
p_303,19
p_304,19
p_305,40
p_306,34
p_307,1
p_308,38
p_309,11
p_310,44
p_311,33
p_312,37
p_313,29
p_314,38
p_315,44
p_316,41
p_317,4
p_318,22
p_319,42
p_320,22
p_321,5
p_322,34
p_323,13
p_324,3
p_325,26
p_326,14
p_327,17
p_328,18
p_329,2
p_330,16
p_331,20
p_332,4
p_333,1
p_334,13
p_335,16
p_336,10
p_337,13
p_338,37
p_339,4
p_340,19
p_341,22
p_342,6
p_343,37
p_344,35
p_345,6
p_346,31
p_347,33
p_348,33
p_349,39
p_350,9
p_351,17
p_352,13
p_353,33
p_354,4
p_355,20
p_356,31
p_357,1
p_358,1
p_359,42
p_360,31
p_361,15
p_362,24
p_363,16
p_364,34
p_365,14
p_366,37
p_367,10
p_368,41
p_369,36
p_370,44
p_371,42
p_372,13
p_373,41
p_374,35
p_375,31
p_376,40
p_377,19
p_378,9
p_379,12
p_380,18
p_381,35
p_382,13
p_383,21
p_384,23
p_385,28
p_386,7
p_387,4
p_388,41
p_389,38
p_390,33
p_391,1
p_392,3
p_393,40
p_394,44
p_395,41
p_396,28
p_397,17
p_398,5
p_399,22
p_400,39
p_401,20
p_402,4
p_403,28
p_404,4
p_405,27
p_406,9
p_407,35
p_408,41
p_409,38
p_410,38
p_411,13
p_412,36
p_413,12
p_414,4
p_415,15
p_416,17
p_417,25
p_418,27
p_419,14
p_420,38
p_421,37
p_422,20
p_423,27
p_424,6
p_425,10
p_426,31
p_427,2
p_428,32
p_429,7
p_430,22
p_431,31
p_432,26
p_433,25
p_434,12
p_435,31
p_436,16
p_437,4
p_438,34
p_439,6
p_440,13
p_441,10
p_442,13
p_443,2
p_444,28
p_445,31
p_446,34
p_447,23
p_448,38
p_449,29
p_450,25
p_451,3
p_452,42
p_453,11
p_454,18
p_455,30
p_456,42
p_457,2
p_458,2
p_459,16
p_460,24
p_461,21
p_462,19
p_463,27
p_464,4
p_465,37
p_466,26
p_467,33
p_468,19
p_469,38
p_470,14
p_471,4
p_472,1
p_473,34
p_474,9
p_475,9
p_476,10
p_477,8
p_478,31
p_479,12
p_480,28
p_481,2
p_482,17
p_483,34
p_484,30
p_485,1
p_486,34
p_487,13
p_488,33
p_489,5
p_490,8
p_491,22
p_492,42
p_493,35
p_494,10
p_495,19
p_496,36
p_497,1
p_498,24
p_499,24
p_500,27
p_501,2
p_502,19
p_503,23
p_504,16
p_505,26
p_506,5
p_507,22
p_508,10
p_509,31
p_510,33
p_511,38
p_512,37
p_513,22
p_514,8
p_515,34
p_516,5
p_517,30
p_518,27
p_519,9
p_520,23
p_521,24
p_522,14
p_523,27
p_524,21
p_525,24
p_526,32
p_527,34
p_528,28
p_529,40
p_530,19
p_531,11
p_532,14
p_533,35
p_534,17
p_535,27
p_536,17
p_537,38
p_538,10
p_539,15
p_540,31
p_541,30
p_542,22
p_543,27
p_544,17
p_545,13
p_546,24
p_547,23
p_548,20
p_549,36
p_550,44
p_551,6
p_552,7
p_553,29
p_554,7
p_555,10
p_556,40
p_557,30
p_558,43
p_559,2
p_560,22
p_561,10
p_562,43
p_563,3
p_564,14
p_565,41
p_566,44
p_567,25
p_568,1
p_569,10
p_570,38
p_571,36
p_572,37
p_573,39
p_574,38
p_575,25
p_576,11
p_577,17
p_578,33
p_579,38
p_580,36
p_581,7
p_582,1
p_583,35
p_584,35
p_585,21
p_586,21
p_587,44
p_588,24
p_589,25
p_590,27
p_591,10
p_592,17
p_593,19
p_594,24
p_595,13
p_596,17
p_597,20
p_598,37
p_599,42
p_600,40
p_601,17
p_602,39
p_603,3
p_604,39
p_605,27
p_606,17
p_607,10
p_608,38
p_609,42
p_610,11
p_611,42
p_612,5
p_613,42
p_614,37
p_615,1
p_616,34
p_617,4
p_618,32
p_619,43
p_620,44
p_621,41
p_622,35
p_623,44
p_624,14
p_625,17
p_626,4
p_627,2
p_628,25
p_629,10
p_630,9
p_631,26
p_632,24
p_633,6
p_634,31
p_635,38
p_636,17
p_637,33
p_638,21
p_639,12
p_640,19
p_641,7
p_642,42
p_643,14
p_644,20
p_645,28
p_646,22
p_647,31
p_648,29
p_649,25
p_650,11
p_651,16
p_652,32
p_653,18
p_654,18
p_655,14
p_656,18
p_657,25
p_658,26
p_659,16
p_660,17
p_661,25
p_662,36
p_663,34
p_664,29
p_665,12
p_666,42
p_667,17
p_668,23
p_669,20
p_670,25
p_671,31
p_672,44
p_673,28
p_674,30
p_675,10
p_676,20
p_677,36
p_678,22
p_679,8
p_680,5
p_681,42
p_682,25
p_683,17
p_684,11
p_685,2
p_686,44
p_687,32
p_688,20
p_689,39
p_690,13
p_691,14
p_692,20
p_693,12
p_694,20
p_695,32
p_696,17
p_697,9
p_698,33
p_699,24
p_700,17
p_701,17
p_702,13
p_703,11
p_704,29
p_705,42
p_706,6
p_707,14
p_708,2
p_709,40
p_710,39
p_711,25
p_712,16
p_713,26
p_714,44
p_715,39
p_716,33
p_717,40
p_718,12
p_719,9
p_720,26
p_721,33
p_722,40
p_723,23
p_724,6
p_725,18
p_726,22
p_727,24
p_728,24
p_729,8
p_730,40
p_731,42
p_732,12
p_733,13
p_734,20
p_735,28
p_736,34
p_737,36
p_738,43
p_739,10
p_740,29
p_741,19
p_742,25
p_743,42
p_744,30
p_745,25
p_746,19
p_747,33
p_748,36
p_749,14
p_750,18
p_751,6
p_752,43
p_753,1
p_754,42
p_755,35
p_756,19
p_757,17
p_758,42
p_759,30
p_760,38
p_761,10
p_762,34
p_763,38
p_764,9
p_765,15
p_766,27
p_767,39
p_768,15
p_769,17
p_770,5
p_771,30
p_772,9
p_773,3
p_774,33
p_775,44
p_776,1
p_777,15
p_778,36
p_779,31
p_780,28
p_781,30
p_782,11
p_783,36
p_784,22
p_785,41
p_786,3
p_787,27
p_788,30
p_789,10
p_790,36
p_791,22
p_792,37
p_793,44
p_794,36
p_795,37
p_796,3
p_797,24
p_798,8
p_799,4
p_800,9
p_801,40
p_802,21
p_803,13
